id,key,value,type
27607688,source,PGS,regular
27607690,source,PGS,regular
27607690,created_by,shp2osm,regular
27607691,source,PGS,regular
27607694,source,PGS,regular
27607695,source,PGS,regular
27607697,source,PGS,regular
27607698,source,PGS,regular
27607698,created_by,shp2osm,regular
27607699,source,PGS,regular
27607699,created_by,shp2osm,regular
27607700,source,PGS,regular
27607701,source,PGS,regular
27607703,source,PGS,regular
27607705,source,PGS,regular
27607706,source,PGS,regular
27607708,source,PGS,regular
27607708,created_by,shp2osm,regular
27607709,source,PGS,regular
27607710,source,PGS,regular
27607714,source,PGS,regular
27607715,source,PGS,regular
27607715,created_by,shp2osm,regular
27607717,source,PGS,regular
27607720,source,PGS,regular
27607722,source,PGS,regular
27607723,source,PGS,regular
27607724,source,PGS,regular
27607725,source,PGS,regular
27607725,created_by,shp2osm,regular
27607727,source,PGS,regular
27607728,source,PGS,regular
27607729,source,PGS,regular
27607729,created_by,shp2osm,regular
27607730,source,PGS,regular
27607730,created_by,shp2osm,regular
27607731,source,PGS,regular
27607731,created_by,shp2osm,regular
27607732,source,PGS,regular
27607732,created_by,shp2osm,regular
27607733,source,PGS,regular
27607733,created_by,shp2osm,regular
27607734,source,PGS,regular
27607735,source,PGS,regular
27607737,source,PGS,regular
27607738,source,PGS,regular
27607739,source,PGS,regular
27607740,source,PGS,regular
27607741,source,PGS,regular
27607741,created_by,shp2osm,regular
27607746,source,PGS,regular
27607746,created_by,shp2osm,regular
27607748,source,PGS,regular
27607749,source,PGS,regular
27607751,source,PGS,regular
27607754,source,PGS,regular
27607755,source,PGS,regular
27607757,source,PGS,regular
27607758,source,PGS,regular
27607759,source,PGS,regular
27607760,source,PGS,regular
27607761,source,PGS,regular
27607762,source,PGS,regular
27607764,source,PGS,regular
27607764,created_by,shp2osm,regular
27607766,source,PGS,regular
27607767,source,PGS,regular
27607768,source,PGS,regular
27607768,created_by,shp2osm,regular
27607769,source,PGS,regular
27607769,created_by,shp2osm,regular
27607774,source,PGS,regular
27607777,source,PGS,regular
27607777,created_by,shp2osm,regular
27607778,source,PGS,regular
27607784,source,PGS,regular
27607785,source,PGS,regular
27607786,source,PGS,regular
27607787,source,PGS,regular
27607787,created_by,shp2osm,regular
27607788,source,PGS,regular
27607792,source,PGS,regular
27607795,source,PGS,regular
27607796,source,PGS,regular
27607798,source,PGS,regular
27607798,created_by,shp2osm,regular
27607800,source,PGS,regular
27607800,created_by,shp2osm,regular
27607802,source,PGS,regular
27607805,source,PGS,regular
27607808,source,PGS,regular
27607809,source,PGS,regular
27607809,created_by,shp2osm,regular
27607811,source,PGS,regular
27607812,source,PGS,regular
27607816,source,PGS,regular
27607817,source,PGS,regular
27607818,source,PGS,regular
27607822,source,PGS,regular
27607822,created_by,shp2osm,regular
27607824,source,PGS,regular
27607825,source,PGS,regular
27607827,source,PGS,regular
27607827,created_by,shp2osm,regular
27607828,source,PGS,regular
27607829,source,PGS,regular
27607829,created_by,shp2osm,regular
27607830,source,PGS,regular
27607831,source,PGS,regular
27607832,source,PGS,regular
27607838,source,PGS,regular
27607840,source,PGS,regular
27607840,created_by,shp2osm,regular
27607843,source,PGS,regular
27607844,source,PGS,regular
27607844,created_by,shp2osm,regular
27607845,source,PGS,regular
27607846,source,PGS,regular
27607848,source,PGS,regular
27607849,source,PGS,regular
27607852,source,PGS,regular
27607852,created_by,shp2osm,regular
27607854,source,PGS,regular
27607855,source,PGS,regular
27607856,source,PGS,regular
27607857,source,PGS,regular
27607857,created_by,shp2osm,regular
27607859,source,PGS,regular
27607859,created_by,shp2osm,regular
27607862,source,PGS,regular
27607863,source,PGS,regular
27607865,source,PGS,regular
27607866,source,PGS,regular
27607866,created_by,shp2osm,regular
27607867,source,PGS,regular
27607868,source,PGS,regular
27607869,source,PGS,regular
27607871,source,PGS,regular
27607872,source,PGS,regular
27607875,source,PGS,regular
27607875,created_by,shp2osm,regular
27607878,source,PGS,regular
27607878,created_by,shp2osm,regular
27607879,source,PGS,regular
27607880,source,PGS,regular
27607881,source,PGS,regular
27607883,source,PGS,regular
27607883,created_by,shp2osm,regular
27607885,source,PGS,regular
27607889,source,PGS,regular
27607890,source,PGS,regular
27607891,source,PGS,regular
27607891,created_by,shp2osm,regular
27607893,source,PGS,regular
27607895,source,PGS,regular
27607896,name,Rumeli Kavağı,regular
27607896,cargo,passengers,regular
27607896,source,survey,regular
27607896,amenity,ferry_terminal,regular
27607898,source,PGS,regular
27607900,source,PGS,regular
27607901,source,PGS,regular
27607902,source,PGS,regular
27607903,source,PGS,regular
27607903,created_by,shp2osm,regular
27607904,source,PGS,regular
27607905,source,PGS,regular
27607905,created_by,shp2osm,regular
27607908,source,PGS,regular
27607909,source,PGS,regular
27607909,created_by,shp2osm,regular
27607910,source,PGS,regular
27607911,source,PGS,regular
27607914,source,PGS,regular
27607915,source,PGS,regular
27607915,created_by,shp2osm,regular
27607916,source,PGS,regular
27607918,source,PGS,regular
27607919,source,PGS,regular
27607919,created_by,shp2osm,regular
27607921,source,PGS,regular
27607922,source,PGS,regular
27607923,source,PGS,regular
27607923,created_by,shp2osm,regular
27607924,source,PGS,regular
27607932,source,PGS,regular
27607932,created_by,shp2osm,regular
27607933,source,PGS,regular
27607934,source,PGS,regular
27607935,source,PGS,regular
27607936,source,PGS,regular
27607936,created_by,shp2osm,regular
27607937,source,PGS,regular
27607938,source,PGS,regular
27607939,source,PGS,regular
27607940,source,PGS,regular
27607941,source,PGS,regular
27607941,created_by,shp2osm,regular
27607942,source,PGS,regular
27607943,source,PGS,regular
27607944,source,PGS,regular
27607949,source,PGS,regular
27607951,source,PGS,regular
27607952,source,PGS,regular
27607952,created_by,shp2osm,regular
27607953,source,PGS,regular
27607954,source,PGS,regular
27607954,created_by,shp2osm,regular
27607956,source,PGS,regular
27607957,source,PGS,regular
27607958,source,PGS,regular
27607959,source,PGS,regular
27607960,source,PGS,regular
27607962,source,PGS,regular
27607962,created_by,shp2osm,regular
